"Date","Price","Open","High","Low","Change %"
"Feb 22, 1990","1.2243","1.2243","1.2277","1.2207","0.16%"
"Feb 23, 1990","1.2189","1.2189","1.2234","1.2166","-0.44%"
"Feb 26, 1990","1.2127","1.2127","1.2148","1.2077","-0.51%"
"Feb 27, 1990","1.2102","1.2102","1.2146","1.2081","-0.21%"
"Feb 28, 1990","1.2008","1.2008","1.2108","1.1996","-0.78%"
"Mar 01, 1990","1.1919","1.1919","1.2073","1.1888","-0.74%"
"Mar 02, 1990","1.1913","1.1913","1.1991","1.1873","-0.05%"
"Mar 05, 1990","1.2025","1.2025","1.2060","1.1917","0.94%"
"Mar 06, 1990","1.1991","1.1991","1.2071","1.1976","-0.28%"
"Mar 07, 1990","1.2039","1.2039","1.2045","1.1951","0.40%"
"Mar 08, 1990","1.2005","1.2005","1.2061","1.1964","-0.28%"
"Mar 09, 1990","1.1966","1.1966","1.2031","1.1943","-0.32%"
"Mar 12, 1990","1.1894","1.1894","1.1963","1.1879","-0.60%"
"Mar 13, 1990","1.1907","1.1907","1.1939","1.1841","0.11%"
"Mar 14, 1990","1.1919","1.1919","1.1944","1.1881","0.10%"
"Mar 15, 1990","1.2010","1.2010","1.2016","1.1904","0.76%"
"Mar 16, 1990","1.2001","1.2001","1.2051","1.1987","-0.07%"
"Mar 19, 1990","1.2071","1.2071","1.2119","1.2048","0.58%"
"Mar 20, 1990","1.1942","1.1942","1.2096","1.1926","-1.07%"
"Mar 21, 1990","1.1902","1.1902","1.1963","1.1898","-0.33%"
"Mar 22, 1990","1.1968","1.1968","1.1992","1.1907","0.55%"
"Mar 23, 1990","1.1915","1.1915","1.1978","1.1904","-0.44%"
"Mar 26, 1990","1.1964","1.1964","1.2002","1.1874","0.41%"
"Mar 27, 1990","1.1940","1.1940","1.1980","1.1908","-0.20%"
"Mar 28, 1990","1.1959","1.1959","1.2001","1.1923","0.16%"
"Mar 29, 1990","1.2073","1.2073","1.2073","1.1978","0.95%"
"Mar 30, 1990","1.2065","1.2065","1.2130","1.2024","-0.07%"
"Apr 02, 1990","1.2018","1.2018","1.2041","1.1980","-0.39%"
"Apr 03, 1990","1.2050","1.2050","1.2054","1.2009","0.27%"
"Apr 04, 1990","1.2037","1.2037","1.2062","1.2035","-0.11%"
"Apr 05, 1990","1.2037","1.2037","1.2060","1.2033","0.00%"
