"Date","Price","Open","High","Low","Change %"
"Feb 11, 2014","1.6450","1.6401","1.6489","1.6392","0.30%"
"Feb 12, 2014","1.6595","1.6452","1.6601","1.6425","0.88%"
"Feb 13, 2014","1.6660","1.6595","1.6675","1.6593","0.39%"
"Feb 14, 2014","1.6747","1.6660","1.6757","1.6643","0.52%"
"Feb 17, 2014","1.6715","1.6744","1.6824","1.6694","-0.19%"
"Feb 18, 2014","1.6684","1.6715","1.6742","1.6655","-0.19%"
"Feb 19, 2014","1.6681","1.6683","1.6734","1.6637","-0.02%"
"Feb 20, 2014","1.6650","1.6679","1.6698","1.6625","-0.19%"
"Feb 21, 2014","1.6616","1.6652","1.6726","1.6612","-0.20%"
"Feb 24, 2014","1.6656","1.6620","1.6679","1.6582","0.24%"
"Feb 25, 2014","1.6681","1.6656","1.6728","1.6641","0.15%"
"Feb 26, 2014","1.6673","1.6677","1.6702","1.6620","-0.05%"
"Feb 27, 2014","1.6688","1.6675","1.6700","1.6618","0.09%"
"Feb 28, 2014","1.6745","1.6687","1.6771","1.6677","0.34%"
"Mar 03, 2014","1.6667","1.6747","1.6752","1.6654","-0.47%"
"Mar 04, 2014","1.6664","1.6667","1.6718","1.6640","-0.02%"
"Mar 05, 2014","1.6723","1.6664","1.6743","1.6656","0.35%"
"Mar 06, 2014","1.6740","1.6723","1.6778","1.6685","0.10%"
"Mar 07, 2014","1.6713","1.6740","1.6787","1.6707","-0.16%"
"Mar 10, 2014","1.6646","1.6720","1.6750","1.6623","-0.40%"
"Mar 11, 2014","1.6617","1.6646","1.6655","1.6596","-0.17%"
"Mar 12, 2014","1.6620","1.6618","1.6640","1.6570","0.02%"
"Mar 13, 2014","1.6625","1.6618","1.6717","1.6605","0.03%"
"Mar 14, 2014","1.6646","1.6627","1.6652","1.6588","0.13%"
"Mar 17, 2014","1.6637","1.6644","1.6669","1.6604","-0.05%"
"Mar 18, 2014","1.6593","1.6635","1.6648","1.6544","-0.26%"
"Mar 19, 2014","1.6542","1.6593","1.6655","1.6508","-0.31%"
"Mar 20, 2014","1.6505","1.6543","1.6570","1.6481","-0.22%"
"Mar 21, 2014","1.6486","1.6507","1.6522","1.6475","-0.12%"
"Mar 24, 2014","1.6498","1.6490","1.6538","1.6460","0.07%"
"Mar 25, 2014","1.6529","1.6498","1.6551","1.6481","0.19%"
"Mar 26, 2014","1.6587","1.6528","1.6599","1.6509","0.35%"
"Mar 27, 2014","1.6612","1.6584","1.6650","1.6555","0.15%"
"Mar 28, 2014","1.6638","1.6612","1.6653","1.6599","0.16%"
"Mar 31, 2014","1.6663","1.6650","1.6686","1.6612","0.15%"
"Apr 01, 2014","1.6629","1.6660","1.6679","1.6616","-0.20%"
"Apr 02, 2014","1.6627","1.6627","1.6664","1.6618","-0.01%"
"Apr 03, 2014","1.6599","1.6627","1.6662","1.6570","-0.17%"
"Apr 04, 2014","1.6580","1.6597","1.6606","1.6553","-0.11%"
"Apr 07, 2014","1.6610","1.6574","1.6625","1.6564","0.18%"
"Apr 08, 2014","1.6748","1.6608","1.6756","1.6603","0.83%"
"Apr 09, 2014","1.6793","1.6747","1.6801","1.6723","0.27%"
"Apr 10, 2014","1.6785","1.6795","1.6822","1.6755","-0.05%"
"Apr 11, 2014","1.6734","1.6785","1.6791","1.6717","-0.30%"
"Apr 14, 2014","1.6730","1.6709","1.6745","1.6696","-0.02%"
"Apr 15, 2014","1.6730","1.6730","1.6750","1.6682","0.00%"
"Apr 16, 2014","1.6798","1.6731","1.6820","1.6719","0.41%"
"Apr 17, 2014","1.6793","1.6796","1.6843","1.6786","-0.03%"
"Apr 18, 2014","1.6808","1.6793","1.6808","1.6772","0.09%"
"Apr 21, 2014","1.6792","1.6787","1.6820","1.6782","-0.10%"
"Apr 22, 2014","1.6824","1.6791","1.6841","1.6784","0.19%"
"Apr 23, 2014","1.6783","1.6824","1.6838","1.6763","-0.24%"
"Apr 24, 2014","1.6805","1.6784","1.6809","1.6765","0.13%"
"Apr 25, 2014","1.6805","1.6805","1.6830","1.6790","0.00%"
"Apr 28, 2014","1.6808","1.6791","1.6856","1.6776","0.02%"
"Apr 29, 2014","1.6827","1.6808","1.6850","1.6793","0.11%"
"Apr 30, 2014","1.6873","1.6830","1.6903","1.6807","0.27%"
"May 01, 2014","1.6893","1.6874","1.6920","1.6869","0.12%"
"May 02, 2014","1.6867","1.6892","1.6898","1.6822","-0.15%"
"May 05, 2014","1.6865","1.6870","1.6890","1.6855","-0.01%"
"May 06, 2014","1.6978","1.6867","1.6997","1.6864","0.67%"
"May 07, 2014","1.6954","1.6975","1.6988","1.6951","-0.14%"
"May 08, 2014","1.6933","1.6955","1.6977","1.6923","-0.12%"
"May 09, 2014","1.6851","1.6935","1.6939","1.6832","-0.48%"
"May 12, 2014","1.6869","1.6839","1.6904","1.6835","0.11%"
"May 13, 2014","1.6826","1.6867","1.6883","1.6817","-0.25%"
"May 14, 2014","1.6766","1.6824","1.6875","1.6751","-0.36%"
"May 15, 2014","1.6789","1.6767","1.6807","1.6731","0.14%"
"May 16, 2014","1.6816","1.6791","1.6841","1.6784","0.16%"
"May 19, 2014","1.6814","1.6812","1.6846","1.6805","-0.01%"
"May 20, 2014","1.6838","1.6813","1.6864","1.6801","0.14%"
"May 21, 2014","1.6902","1.6839","1.6923","1.6831","0.38%"
"May 22, 2014","1.6871","1.6900","1.6919","1.6852","-0.18%"
"May 23, 2014","1.6833","1.6871","1.6877","1.6812","-0.23%"
"May 26, 2014","1.6843","1.6836","1.6855","1.6826","0.06%"
"May 27, 2014","1.6810","1.6841","1.6883","1.6782","-0.20%"
"May 28, 2014","1.6711","1.6810","1.6816","1.6698","-0.59%"
"May 29, 2014","1.6717","1.6711","1.6742","1.6692","0.04%"
"May 30, 2014","1.6752","1.6717","1.6779","1.6713","0.21%"
"Jun 02, 2014","1.6746","1.6760","1.6771","1.6724","-0.04%"
"Jun 03, 2014","1.6749","1.6745","1.6782","1.6728","0.02%"
"Jun 04, 2014","1.6737","1.6750","1.6770","1.6698","-0.07%"
"Jun 05, 2014","1.6820","1.6736","1.6824","1.6721","0.50%"
"Jun 06, 2014","1.6803","1.6822","1.6846","1.6782","-0.10%"
"Jun 09, 2014","1.6803","1.6797","1.6835","1.6784","0.00%"
"Jun 10, 2014","1.6756","1.6801","1.6818","1.6742","-0.28%"
"Jun 11, 2014","1.6788","1.6757","1.6811","1.6738","0.19%"
"Jun 12, 2014","1.6928","1.6787","1.6930","1.6784","0.83%"
"Jun 13, 2014","1.6965","1.6929","1.6994","1.6922","0.22%"
"Jun 16, 2014","1.6984","1.6970","1.7012","1.6959","0.11%"
"Jun 17, 2014","1.6966","1.6986","1.6992","1.6939","-0.11%"
"Jun 18, 2014","1.6993","1.6965","1.7002","1.6925","0.16%"
"Jun 19, 2014","1.7041","1.6993","1.7064","1.6982","0.28%"
"Jun 20, 2014","1.7012","1.7039","1.7062","1.7003","-0.17%"
"Jun 23, 2014","1.7027","1.7015","1.7052","1.7002","0.09%"
"Jun 24, 2014","1.6986","1.7029","1.7033","1.6965","-0.24%"
"Jun 25, 2014","1.6984","1.6984","1.7005","1.6949","-0.01%"
"Jun 26, 2014","1.7027","1.6986","1.7042","1.6971","0.25%"
"Jun 27, 2014","1.7035","1.7026","1.7053","1.7007","0.05%"
"Jun 30, 2014","1.7106","1.7021","1.7118","1.7008","0.42%"
"Jul 01, 2014","1.7150","1.7108","1.7168","1.7095","0.26%"
"Jul 02, 2014","1.7166","1.7151","1.7179","1.7141","0.09%"
"Jul 03, 2014","1.7155","1.7167","1.7170","1.7106","-0.06%"
"Jul 04, 2014","1.7159","1.7155","1.7180","1.7130","0.02%"
"Jul 07, 2014","1.7127","1.7162","1.7171","1.7107","-0.19%"
"Jul 08, 2014","1.7132","1.7127","1.7148","1.7083","0.03%"
"Jul 09, 2014","1.7157","1.7132","1.7163","1.7094","0.15%"
"Jul 10, 2014","1.7132","1.7157","1.7170","1.7104","-0.15%"
"Jul 11, 2014","1.7125","1.7134","1.7153","1.7100","-0.04%"
"Jul 14, 2014","1.7085","1.7117","1.7144","1.7069","-0.23%"
"Jul 15, 2014","1.7143","1.7085","1.7193","1.7059","0.34%"
"Jul 16, 2014","1.7138","1.7142","1.7153","1.7113","-0.03%"
"Jul 17, 2014","1.7100","1.7138","1.7146","1.7087","-0.22%"
"Jul 18, 2014","1.7088","1.7101","1.7119","1.7036","-0.07%"
"Jul 21, 2014","1.7075","1.7092","1.7100","1.7054","-0.08%"
"Jul 22, 2014","1.7064","1.7077","1.7085","1.7041","-0.06%"
"Jul 23, 2014","1.7043","1.7066","1.7096","1.7022","-0.12%"
"Jul 24, 2014","1.6986","1.7046","1.7056","1.6966","-0.33%"
"Jul 25, 2014","1.6974","1.6987","1.7001","1.6961","-0.07%"
"Jul 28, 2014","1.6984","1.6973","1.7002","1.6972","0.06%"
"Jul 29, 2014","1.6945","1.6984","1.6997","1.6933","-0.23%"
"Jul 30, 2014","1.6915","1.6944","1.6957","1.6888","-0.18%"
"Jul 31, 2014","1.6886","1.6915","1.6928","1.6857","-0.17%"
"Aug 01, 2014","1.6820","1.6885","1.6894","1.6814","-0.39%"
"Aug 04, 2014","1.6863","1.6820","1.6864","1.6812","0.26%"
"Aug 05, 2014","1.6886","1.6864","1.6890","1.6845","0.14%"
"Aug 06, 2014","1.6854","1.6886","1.6890","1.6820","-0.19%"
"Aug 07, 2014","1.6833","1.6852","1.6865","1.6822","-0.12%"
"Aug 08, 2014","1.6774","1.6831","1.6835","1.6765","-0.35%"
"Aug 11, 2014","1.6787","1.6783","1.6796","1.6768","0.08%"
